url,name,phones,emails,general_director,type_of_company,registration_date_datetime,registration_date_timestamp,founders,inn,ogrn,kpp,okpo,okato,oktmo,okogu,postal_code,address
cenzs.ru,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
cars-markt.ru,None,+74957218088&+78007000608&+78123854136,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
changan-tissauto.ru,None,+73852299000,info@lego-car.ru,None,None,None,None,None,None,None,None,None,None,None,None,None,None
changan-petersburg.ru,None,+78125011876,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
carsar.su,None,+78452489999,skoda-logo@2x.png&skoda-logo@3x.png,None,None,None,None,None,None,None,None,None,None,None,None,None,None
changan-perm.ru,None,+71507336502&+73422584803&+79990000000&+71153182282&+75337983169&+73472161221,info@demidich.ru,None,None,None,None,None,None,None,None,None,None,None,None,None,None
changanomsk.ru,None,+73812330730,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
chery-avtoruss.ru,None,+74952761234,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
chery-borishof.ru,None,+76766085122&+72784139074&+78568304159&+74955402540&+74660596956&+74004205785&+79379331506&+77059796274,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
chery-avtogermes.ru,None,+76766085122&+74954281295&+72784139074&+78568304159&+79379331506&+74660596956&+74004205785&+77059796274&+74954281292,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
chery-forpost.ru,None,+76766085122&+73476772100&+72784139074&+78568304159&+79379331506&+74660596956&+74004205785&+77059796274,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
chery-avtomaster.ru,None,+76766085122&+72784139074&+78568304159&+79379331506&+74660596956&+74004205785&+77059796274&+78412455111,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
chery-favorit.ru,None,+76766085122&+72784139074&+74951862429&+78568304159&+79379331506&+74660596956&+74004205785&+77059796274,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
chery-asavto-volga.ru,None,+76766085122&+72784139074&+78568304159&+79379331506&+74660596956&+74004205785&+77059796274&+78462150007&+78452659500&+78482555424,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
chery-ekb.ru,None,+73432989930&+73433821103,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
chery-iat.ru,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
changanufa.ru,None,+73422584803&+79990000000&+75337983169&+73472161221,info@demidich.ru,None,None,None,None,None,None,None,None,None,None,None,None,None,None
